שנה,סעיף מוביל,מספר בקשה,תיאור בקשה,קוד שינוי,שם שינוי,קוד סוג בקשה,שם סוג בקשה,מספר וועדה,קוד תוכנית,שם תוכנית,הוצאות נטו,הוצאה מותנית בהכנסה,הכנסה מיועדת,הרשאה להתחייב,שיא כא
2007,67,002,קיצוץ 3.5,2,קיצוץ לרזרבה,2,אישור ועדה,9000,671905,"תמיכה בקופ""ח כללית עפ""י",-112,0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,670102,"ביה""ח ממשלתיים",611,0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,670104,תכנון ובניית מיטות,25039,0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,670202,"ביה""ח ממשלתיים",6025,0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,670203,מוסדות ציבוריים,2892,0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,670205,תשתיות לשילוב חולי נפש,36,0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,670301,תכנון,"1,181",0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,670302,סקטור ממשלתי,22687,0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,670501,פרוייקט מיחשוב מרכזי,77,0,0,0,0
2007,67,003,עודפים מחוייבים סעיף 67,5,עודפים,3,הודעה לועדה,0,671905,"תמיכה בקופ""ח כללית עפ""י",49810,0,0,0,0
2007,67,004,עודפים ל.מ. סעיף 67,5,עודפים,3,הודעה לועדה,0,670102,"ביה""ח ממשלתיים",4591,0,0,0,0
2007,67,004,עודפים ל.מ. סעיף 67,5,עודפים,3,הודעה לועדה,0,670202,"ביה""ח ממשלתיים",17615,0,0,0,0
2007,67,004,עודפים ל.מ. סעיף 67,5,עודפים,3,הודעה לועדה,0,670203,מוסדות ציבוריים,"3,891",0,0,0,0
2007,67,004,עודפים ל.מ. סעיף 67,5,עודפים,3,הודעה לועדה,0,670205,תשתיות לשילוב חולי נפש,564,0,0,0,0
2007,67,004,עודפים ל.מ. סעיף 67,5,עודפים,3,הודעה לועדה,0,670302,סקטור ממשלתי,9245,0,0,0,0
2007,67,004,עודפים ל.מ. סעיף 67,5,עודפים,3,הודעה לועדה,0,670501,פרוייקט מיחשוב מרכזי,1702,0,0,0,0
2007,67,005,שירותי רפואה מיידיים,7,שינוי פנימי,2,אישור ועדה,145,671905,"תמיכה בקופ""ח כללית עפ""י","-10,000",0,0,0,0
2007,67,005,שירותי רפואה מיידיים,7,שינוי פנימי,2,אישור ועדה,145,671906,תמיכה בפיתוח תשתיות,10000,0,0,0,0
2007,67,007,טיפת חלב,7,שינוי פנימי,2,אישור ועדה,224,670302,סקטור ממשלתי,0,0,0,4000,0
2007,67,007,טיפת חלב,7,שינוי פנימי,2,אישור ועדה,224,671906,תמיכה בפיתוח תשתיות,0,0,0,-4000,0
2007,67,008,פניית פיתוח 5.07,9,מרזרבה כללית,2,אישור ועדה,256,470101,רזרבה כללית,"-50,047",0,0,-57700,0
2007,67,008,פניית פיתוח 5.07,9,מרזרבה כללית,2,אישור ועדה,256,670104,תכנון ובניית מיטות,0,0,0,0,0
2007,67,008,פניית פיתוח 5.07,9,מרזרבה כללית,2,אישור ועדה,256,670202,"ביה""ח ממשלתיים",0,2500,-2500,2500,0
2007,67,008,פניית פיתוח 5.07,9,מרזרבה כללית,2,אישור ועדה,256,670302,סקטור ממשלתי,12050,0,0,27000,0
2007,67,008,פניית פיתוח 5.07,9,מרזרבה כללית,2,אישור ועדה,256,670401,הצטיידות,2000,0,0,0,0
2007,67,008,פניית פיתוח 5.07,9,מרזרבה כללית,2,אישור ועדה,256,670501,פרוייקט מיחשוב מרכזי,28197,0,0,28200,0
2007,67,008,פניית פיתוח 5.07,9,מרזרבה כללית,2,אישור ועדה,256,671905,"תמיכה בקופ""ח כללית עפ""י",7800,0,0,0,0
2007,67,009,מיגון מרפאות השתתפות,7,שינוי פנימי,2,אישור ועדה,277,670302,סקטור ממשלתי,"2,400",0,0,5800,0
2007,67,009,מיגון מרפאות השתתפות,7,שינוי פנימי,2,אישור ועדה,277,671906,תמיכה בפיתוח תשתיות,"-2,400",0,0,-5800,0
2007,67,010,מיגון מוסדות בריאות,7,שינוי פנימי,1,אישור אגף,0,670302,סקטור ממשלתי,0,0,0,0,0
2007,67,011,קיצוץ רוחבי 6%,2,קיצוץ לרזרבה,2,אישור ועדה,9001,670601,רזרבה להתייקרויות,"-2,972",0,0,0,0
2007,67,012,חיידקים עמידים והצטיידות לחירום,9,מרזרבה כללית,2,אישור ועדה,381,470101,רזרבה כללית,-1000,0,0,0,0
2007,67,012,חיידקים עמידים והצטיידות לחירום,9,מרזרבה כללית,2,אישור ועדה,381,670203,מוסדות ציבוריים,0,0,0,3600,0
2007,67,012,חיידקים עמידים והצטיידות לחירום,9,מרזרבה כללית,2,אישור ועדה,381,670401,הצטיידות,3000,0,0,0,0
2007,67,012,חיידקים עמידים והצטיידות לחירום,9,מרזרבה כללית,2,אישור ועדה,381,671905,"תמיכה בקופ""ח כללית עפ""י",0,0,0,7000,0
2007,67,012,חיידקים עמידים והצטיידות לחירום,9,מרזרבה כללית,2,אישור ועדה,381,671906,תמיכה בפיתוח תשתיות,-2000,0,0,-10600,0
2007,67,013,פניית השתתפות מ. חינוך,9,מרזרבה כללית,2,אישור ועדה,518,470101,רזרבה כללית,0,0,0,-9847,0
2007,67,013,פניית השתתפות מ. חינוך,9,מרזרבה כללית,2,אישור ועדה,518,670205,תשתיות לשילוב חולי נפש,0,-8000,8000,9847,0
2007,67,014,פניית סוף שנה 67,7,שינוי פנימי,1,אישור אגף,0,671905,"תמיכה בקופ""ח כללית עפ""י",0,0,0,0,0
2007,67,014,פניית סוף שנה 67,7,שינוי פנימי,1,אישור אגף,0,671906,תמיכה בפיתוח תשתיות,0,0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,470101,רזרבה כללית,-5900,0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670102,"ביה""ח ממשלתיים","8,500",0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670104,תכנון ובניית מיטות,"-5,000",0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670202,"ביה""ח ממשלתיים","5,643",0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670205,תשתיות לשילוב חולי נפש,0,0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670301,תכנון,0,0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670302,סקטור ממשלתי,"-5,000",0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670401,הצטיידות,"1,500",0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670501,פרוייקט מיחשוב מרכזי,500,0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,670601,רזרבה להתייקרויות,-243,0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,671905,"תמיכה בקופ""ח כללית עפ""י","10,000",0,0,0,0
2007,67,015,סוף שנה 67,9,מרזרבה כללית,2,אישור ועדה,844,671906,תמיכה בפיתוח תשתיות,"-10,000",0,0,0,0
2007,67,016,פניית סוף שנה,8,לרזרבה כללית,2,אישור ועדה,846,470101,רזרבה כללית,0,0,0,45704,0
